COD_CLIENTE,DATA_CADASTRO,DATA_NASCIMENTO,CELULAR_VALIDO,E_MAIL_VALIDO,OPT_OUT,Idade,Faixa_Idade
39686368,2024-06-25,1971-04-10,Não,Sim,Não,54,>=51
39116651,2024-01-03,1997-01-08,Não,Sim,Não,28,21 a 30
1061626,2024-04-12,1981-12-30,Não,Sim,Sim,43,41 a 50
39819563,2024-08-07,1989-11-03,Não,Sim,Não,35,31 a 40
39347635,2024-03-11,1966-05-08,Não,Sim,Não,59,>=51
40385022,2025-01-30,1980-11-01,Não,Sim,Não,44,41 a 50
39284471,2024-02-21,1977-05-29,Não,Sim,Sim,48,41 a 50
39858498,2024-08-18,1996-09-30,Não,Sim,Sim,28,21 a 30
39629963,2024-06-08,1992-05-23,Não,Sim,Não,33,31 a 40
37811248,2024-02-11,2005-09-19,Não,Sim,Não,19,<=20
40447036,2024-12-22,1957-04-21,Não,Sim,Não,68,>=51
39672714,2024-06-21,1959-09-28,Não,Sim,Não,65,>=51
40671123,2025-05-15,1975-09-16,Não,Sim,Não,49,41 a 50
40603532,2025-03-15,1959-03-07,Não,Sim,Não,66,>=51
39277116,2024-02-18,1994-06-02,Não,Sim,Sim,31,31 a 40
39127466,2024-01-06,2002-12-05,Não,Sim,Não,22,21 a 30
39508021,2024-05-02,1965-05-27,Não,Sim,Não,60,>=51
38191872,2024-11-27,1974-06-11,Não,Sim,Não,51,>=51
39334670,2024-03-07,1997-09-27,Não,Sim,Não,27,21 a 30
39478694,2024-04-22,1979-02-16,Não,Sim,Não,46,41 a 50
39973901,2024-12-29,2005-08-01,Não,Sim,Não,19,<=20
40058850,2024-10-22,1996-12-25,Não,Sim,Não,28,21 a 30
39582138,2024-08-21,2004-04-12,Não,Sim,Não,21,21 a 30
39150701,2024-01-12,1982-03-04,Não,Sim,Não,43,41 a 50
39754999,2024-07-16,1994-03-27,Não,Sim,Não,31,31 a 40
39239851,2024-02-07,1996-04-12,Não,Sim,Não,29,21 a 30
39212080,2024-01-30,1980-12-23,Não,Sim,Não,44,41 a 50
37899870,2025-04-12,1995-12-25,Não,Sim,Não,29,21 a 30
40652564,2025-05-09,1959-03-18,Não,Sim,Sim,66,>=51
39564280,2024-10-06,1988-04-27,Não,Sim,Não,37,31 a 40
39453259,2024-04-13,1996-05-01,Não,Sim,Não,29,21 a 30
61017878,2025-02-26,1990-10-20,Não,Sim,Não,34,31 a 40
40261248,2025-05-13,1999-08-22,Não,Sim,Não,25,21 a 30
38934283,2024-05-20,1995-05-03,Não,Sim,Sim,30,21 a 30
39131790,2024-01-07,1990-01-13,Não,Sim,Sim,35,31 a 40
39891336,2024-08-27,1998-08-02,Não,Sim,Sim,26,21 a 30
40417710,2025-02-10,1983-12-12,Não,Sim,Não,41,41 a 50
39799172,2024-09-07,1993-09-23,Não,Sim,Não,31,31 a 40
39737238,2024-07-10,1994-06-13,Não,Sim,Não,31,31 a 40
38036095,2025-01-08,1989-07-20,Não,Sim,Não,35,31 a 40
35180477,2025-05-04,1994-12-10,Não,Sim,Não,30,21 a 30
39345909,2024-03-10,1984-02-27,Não,Sim,Não,41,41 a 50
39262943,2024-02-14,2004-08-03,Não,Sim,Não,20,<=20
39490168,2024-04-26,1999-06-10,Não,Sim,Não,26,21 a 30
39652316,2025-03-15,1997-01-08,Não,Sim,Sim,28,21 a 30
39925466,2024-09-10,2006-12-19,Não,Sim,Não,18,<=20
38767010,2024-06-14,1998-11-30,Não,Sim,Não,26,21 a 30
40651902,2025-05-09,1996-09-04,Não,Sim,Sim,28,21 a 30
39800090,2024-07-30,1984-05-26,Não,Sim,Não,41,41 a 50
40178225,2024-11-26,1950-03-19,Não,Sim,Não,75,>=51
39730491,2024-07-09,1977-10-28,Não,Sim,Sim,47,41 a 50
39728064,2024-07-08,1963-06-05,Não,Sim,Não,62,>=51
39507912,2024-05-02,1990-04-03,Não,Sim,Sim,35,31 a 40
40416606,2025-02-09,1979-08-03,Não,Sim,Não,45,41 a 50
40063139,2025-03-22,1988-04-28,Não,Sim,Não,37,31 a 40
39526822,2024-05-08,1994-04-24,Não,Sim,Sim,31,31 a 40
39478038,2024-09-04,1997-08-07,Não,Sim,Não,27,21 a 30
39321887,2024-03-03,1977-12-13,Não,Sim,Não,47,41 a 50
39728418,2024-07-08,2002-03-08,Não,Sim,Não,23,21 a 30
39807461,2024-08-01,1958-04-16,Não,Sim,Não,67,>=51
39415804,2024-07-17,1981-10-19,Não,Sim,Não,43,41 a 50
39717512,2024-07-05,1984-11-29,Não,Sim,Não,40,31 a 40
40140501,2024-11-16,2000-04-27,Não,Sim,Não,25,21 a 30
39808430,2024-08-01,1979-10-30,Não,Sim,Não,45,41 a 50
39762608,2024-07-18,1989-11-22,Não,Sim,Não,35,31 a 40
40505481,2025-03-03,2006-03-31,Não,Sim,Sim,19,<=20
39611201,2024-06-02,1990-08-08,Não,Sim,Não,34,31 a 40
40107426,2024-11-07,1983-01-07,Não,Sim,Não,42,41 a 50
39253526,2024-02-11,1982-10-25,Não,Sim,Não,42,41 a 50
39547457,2024-05-14,2008-07-23,Não,Sim,Não,16,<=20
38329539,2025-01-05,1989-12-01,Não,Sim,Não,35,31 a 40
40004901,2024-09-03,1987-07-01,Não,Sim,Não,37,31 a 40
39526922,2024-05-08,1990-12-07,Não,Sim,Não,34,31 a 40
38012790,2024-07-20,1996-11-05,Não,Sim,Não,28,21 a 30
39584581,2024-07-07,2004-04-12,Não,Sim,Não,21,21 a 30
40251777,2024-12-16,1998-01-13,Não,Sim,Não,27,21 a 30
40248932,2024-12-15,1986-02-25,Não,Sim,Não,39,31 a 40
40672263,2025-05-16,1981-04-15,Não,Sim,Não,44,41 a 50
40001674,2024-10-03,2000-08-28,Não,Sim,Sim,24,21 a 30
40398378,2025-02-04,1992-06-01,Não,Sim,Não,33,31 a 40
39377368,2024-03-20,1991-04-19,Não,Sim,Sim,34,31 a 40
37940070,2025-04-03,1988-05-31,Não,Sim,Não,37,31 a 40
38619100,2024-01-11,1971-08-13,Não,Sim,Não,53,>=51
35110970,2025-05-01,1983-11-04,Não,Sim,Não,41,41 a 50
41000515,2024-06-27,2000-07-27,Não,Sim,Sim,24,21 a 30
39792467,2024-08-16,1948-01-02,Não,Sim,Não,77,>=51
39990398,2024-09-29,1978-04-01,Não,Sim,Não,47,41 a 50
40173666,2024-11-25,1996-05-15,Não,Sim,Não,29,21 a 30
40431071,2025-02-15,1964-10-14,Não,Sim,Não,60,>=51
40260348,2024-12-19,1957-05-14,Não,Sim,Sim,68,>=51
39435168,2024-04-07,1994-09-09,Não,Sim,Não,30,21 a 30
39643028,2024-06-12,1986-04-25,Não,Sim,Não,39,31 a 40
39630950,2024-06-08,1988-05-16,Não,Sim,Não,37,31 a 40
35187320,2025-05-06,1996-08-06,Não,Sim,Não,28,21 a 30
39717809,2024-07-05,1986-04-16,Não,Sim,Não,39,31 a 40
39106224,2025-03-27,2001-03-23,Não,Sim,Não,24,21 a 30
39473630,2024-04-20,2000-05-26,Não,Sim,Não,25,21 a 30
