COD_CLIENTE;DATA_CADASTRO;DATA_NASCIMENTO;CELULAR_VALIDO;E_MAIL_VALIDO;OPT_OUT;Idade;Faixa_Idade;DATA_PRIMEIRA_COMPRA;DIAS_ATE_1A_COMPRA
39116651;03/01/2024;08/01/1997;Não;Sim;Não;28;21 a 30;06/01/2025;369
1061626;12/04/2024;30/12/1981;Não;Sim;Sim;43;41 a 50;05/01/2025;268
39819563;07/08/2024;03/11/1989;Não;Sim;Não;35;31 a 40;02/01/2025;148
39347635;11/03/2024;08/05/1966;Não;Sim;Não;59;>=51;25/01/2025;320
40385022;30/01/2025;01/11/1980;Não;Sim;Não;44;41 a 50;30/01/2025;0
39284471;21/02/2024;29/05/1977;Não;Sim;Sim;48;41 a 50;19/04/2025;423
37811248;11/02/2024;19/09/2005;Não;Sim;Não;19;<=20;11/01/2025;335
40447036;22/12/2024;21/04/1957;Não;Sim;Não;68;>=51;21/02/2025;61
39672714;21/06/2024;28/09/1959;Não;Sim;Não;65;>=51;08/01/2025;201
40603532;15/03/2025;07/03/1959;Não;Sim;Não;66;>=51;15/03/2025;0
39277116;18/02/2024;02/06/1994;Não;Sim;Sim;31;31 a 40;07/04/2025;414
39508021;02/05/2024;27/05/1965;Não;Sim;Não;60;>=51;23/04/2025;356
39478694;22/04/2024;16/02/1979;Não;Sim;Não;46;41 a 50;25/01/2025;278
39754999;16/07/2024;27/03/1994;Não;Sim;Não;31;31 a 40;19/01/2025;187
39212080;30/01/2024;23/12/1980;Não;Sim;Não;44;41 a 50;18/01/2025;354
37899870;12/04/2025;25/12/1995;Não;Sim;Não;29;21 a 30;12/04/2025;0
61017878;26/02/2025;20/10/1990;Não;Sim;Não;34;31 a 40;26/02/2025;0
38934283;20/05/2024;03/05/1995;Não;Sim;Sim;30;21 a 30;09/01/2025;234
39891336;27/08/2024;02/08/1998;Não;Sim;Sim;26;21 a 30;06/04/2025;222
40417710;10/02/2025;12/12/1983;Não;Sim;Não;41;41 a 50;09/01/2025;-32
39799172;07/09/2024;23/09/1993;Não;Sim;Não;31;31 a 40;03/02/2025;149
39737238;10/07/2024;13/06/1994;Não;Sim;Não;31;31 a 40;17/02/2025;222
38036095;08/01/2025;20/07/1989;Não;Sim;Não;35;31 a 40;08/01/2025;0
39345909;10/03/2024;27/02/1984;Não;Sim;Não;41;41 a 50;15/03/2025;370
39262943;14/02/2024;03/08/2004;Não;Sim;Não;20;<=20;02/01/2025;323
39652316;15/03/2025;08/01/1997;Não;Sim;Sim;28;21 a 30;15/03/2025;0
39800090;30/07/2024;26/05/1984;Não;Sim;Não;41;41 a 50;18/01/2025;172
39507912;02/05/2024;03/04/1990;Não;Sim;Sim;35;31 a 40;18/01/2025;261
40416606;09/02/2025;03/08/1979;Não;Sim;Não;45;41 a 50;11/02/2025;2
40063139;22/03/2025;28/04/1988;Não;Sim;Não;37;31 a 40;28/03/2025;6
39526822;08/05/2024;24/04/1994;Não;Sim;Sim;31;31 a 40;02/01/2025;239
39478038;04/09/2024;07/08/1997;Não;Sim;Não;27;21 a 30;13/02/2025;162
39321887;03/03/2024;13/12/1977;Não;Sim;Não;47;41 a 50;08/03/2025;370
39717512;05/07/2024;29/11/1984;Não;Sim;Não;40;31 a 40;09/03/2025;247
39808430;01/08/2024;30/10/1979;Não;Sim;Não;45;41 a 50;03/01/2025;155
39762608;18/07/2024;22/11/1989;Não;Sim;Não;35;31 a 40;03/01/2025;169
40505481;03/03/2025;31/03/2006;Não;Sim;Sim;19;<=20;03/03/2025;0
40107426;07/11/2024;07/01/1983;Não;Sim;Não;42;41 a 50;23/01/2025;77
38329539;05/01/2025;01/12/1989;Não;Sim;Não;35;31 a 40;05/01/2025;0
38012790;20/07/2024;05/11/1996;Não;Sim;Não;28;21 a 30;21/01/2025;185
39584581;07/07/2024;12/04/2004;Não;Sim;Não;21;21 a 30;25/03/2025;261
40248932;15/12/2024;25/02/1986;Não;Sim;Não;39;31 a 40;20/01/2025;36
40001674;03/10/2024;28/08/2000;Não;Sim;Sim;24;21 a 30;06/01/2025;95
40398378;04/02/2025;01/06/1992;Não;Sim;Não;33;31 a 40;04/02/2025;0
39377368;20/03/2024;19/04/1991;Não;Sim;Sim;34;31 a 40;04/01/2025;290
38619100;11/01/2024;13/08/1971;Não;Sim;Não;53;>=51;09/01/2025;364
41000515;27/06/2024;27/07/2000;Não;Sim;Sim;24;21 a 30;30/03/2025;276
39990398;29/09/2024;01/04/1978;Não;Sim;Não;47;41 a 50;22/01/2025;115
40431071;15/02/2025;14/10/1964;Não;Sim;Não;60;>=51;19/02/2025;4
40260348;19/12/2024;14/05/1957;Não;Sim;Sim;68;>=51;16/01/2025;28
39643028;12/06/2024;25/04/1986;Não;Sim;Não;39;31 a 40;07/01/2025;209
39630950;08/06/2024;16/05/1988;Não;Sim;Não;37;31 a 40;20/01/2025;226
39717809;05/07/2024;16/04/1986;Não;Sim;Não;39;31 a 40;13/02/2025;223
39106224;27/03/2025;23/03/2001;Não;Sim;Não;24;21 a 30;27/03/2025;0
39473630;20/04/2024;26/05/2000;Não;Sim;Não;25;21 a 30;03/01/2025;258
61000092;22/05/2024;22/05/1996;Não;Sim;Não;29;21 a 30;24/01/2025;247
40072756;03/03/2025;07/01/1990;Não;Sim;Não;35;31 a 40;03/03/2025;0
39471624;04/09/2024;11/05/2004;Não;Sim;Não;21;21 a 30;09/01/2025;127
