COD_CLIENTE;CANAL_VENDA;COD_CUPOM;DATA_VENDA;IMPOSTO_VENDA;QUANTIDADE_VENDA;VALOR_VENDA;AVALIACAO_ATENDIMENTO;ANO_MES;NPS_TIPO
39149880;3000;04 02260000781381;05/02/2025;14,85;1;67,49;6;2025-02;Detrator
40322711;1000;04 0010000129633A;13/01/2025;19,95;1;220;10;2025-01;Promotor
39313219;3000;04 00690001988051;31/03/2025;20,33;1;79,5;1;2025-03;Detrator
39154261;4300;04 00310002592671;02/04/2025;17,7;1;94,69;7;2025-04;Neutro
39572507;1000;04 0150000044376104;20/04/2025;1,02;1;10,99;5;2025-04;Detrator
39953463;1000;04 0196000061620103;22/02/2025;2,22;1;23,99;8;2025-02;Neutro
37701180;2000;04 00140062270231;14/04/2025;12,32;1;78,93;4;2025-04;Detrator
39286022;4300;04 02420000177331;28/04/2025;0,93;4;10,02;8;2025-04;Neutro
39670363;1000;04 0179000034697101;02/01/2025;3,24;1;12,69;8;2025-01;Neutro
37641194;4100;04 01580000917391;13/02/2025;14,01;1;23,89;4;2025-02;Detrator
39248431;1000;04 0136000030554104;31/03/2025;22,21;1;89,99;6;2025-03;Detrator
60534812;1000;04 0089000042733101;27/04/2025;2,71;1;10,99;10;2025-04;Promotor
39137191;4300;04 02500000866401;17/01/2025;12,49;1;134,99;2;2025-01;Detrator
39409046;1000;04 0172000023556102;19/04/2025;2,63;1;9,59;6;2025-04;Detrator
39790303;1000;04 0203000012902103;07/03/2025;4,92;5;19,95;8;2025-03;Neutro
39866358;1000;04 0011000458546104;21/02/2025;9,72;1;37,99;5;2025-02;Detrator
39458677;1000;04 0067000609575103;12/01/2025;0,85;3;9,16;6;2025-01;Detrator
38136219;1000;04 0011000112156A;23/04/2025;6,47;1;70;6;2025-04;Detrator
39166682;1000;04 0008000194393102;02/04/2025;3,91;1;15,29;4;2025-04;Detrator
39501957;1000;04 0189000034716101;25/04/2025;9,43;1;34,99;8;2025-04;Neutro
40441106;1000;04 0281000000746102;18/02/2025;0,5;1;1,99;7;2025-02;Neutro
40431569;1000;04 0237000048005102;06/03/2025;17,65;1;69;6;2025-03;Detrator
40631960;1000;04 0003000212002102;27/03/2025;5,63;1;21,99;4;2025-03;Detrator
39866834;1000;04 0043000159370101;29/01/2025;10,78;1;39,99;3;2025-01;Detrator
36501139;3000;04 01530000971691;12/04/2025;9,97;1;58,64;9;2025-04;Promotor
40296496;1000;04 0099000008608102;06/04/2025;5,67;1;31,5;2;2025-04;Detrator
39286591;1000;04 0248000025436102;11/02/2025;4,1;1;15,99;9;2025-02;Promotor
61017485;1000;04 0078000046670104;16/04/2025;1,73;1;18,74;2;2025-04;Detrator
39770882;1000;04 0180000021760103;23/04/2025;6,85;1;24,99;3;2025-04;Detrator
39542997;3000;04 00730003051991;04/01/2025;26,41;1;285,48;10;2025-01;Promotor
39164815;1000;04 0223000012451101;25/01/2025;1,44;1;15,49;4;2025-01;Detrator
39377368;4300;04 00180003603331;11/02/2025;36,12;1;320,8;6;2025-02;Detrator
40422373;1000;04 0212000003724104;07/03/2025;15,86;1;61,99;9;2025-03;Promotor
39475232;4600;04 02830000428761;21/04/2025;1,04;1;4,09;5;2025-04;Detrator
39377197;1000;04 0244000025243103;10/03/2025;35,31;1;137,99;7;2025-03;Neutro
39873639;3000;04 01790000122731;28/03/2025;5,45;1;58,93;5;2025-03;Detrator
40413973;1000;04 0213000042087102;09/02/2025;2,85;1;10,39;5;2025-02;Detrator
39212080;3000;04 01440001992461;18/01/2025;12,49;1;134,99;2;2025-01;Detrator
40504457;4100;04 00290001272611;30/01/2025;2,79;1;10,51;8;2025-01;Neutro
38637337;3000;04 01240000863531;03/04/2025;4,95;1;53,49;9;2025-04;Promotor
39556367;4300;04 01070002898311;03/04/2025;3,41;1;4,29;4;2025-04;Detrator
39394718;4100;04 00330002582211;25/03/2025;19,46;1;73,45;3;2025-03;Detrator
61005275;4600;04 00920001319831;10/02/2025;12,39;1;133,99;8;2025-02;Neutro
39201571;4300;04 02030000509901;24/03/2025;22,37;1;59,44;7;2025-03;Neutro
40558330;3000;04 01140003742111;06/03/2025;10,91;2;35,98;6;2025-03;Detrator
40351580;1000;04 0146000134493102;08/04/2025;11,84;1;127,99;9;2025-04;Promotor
39637362;4300;04 01730002629681;21/04/2025;0,94;1;10,24;5;2025-04;Detrator
40236795;3000;04 02520000714651;20/04/2025;6,06;1;22,49;10;2025-04;Promotor
38934283;4300;04 01050001998621;06/02/2025;6;1;64,89;7;2025-02;Neutro
39313653;4300;04 00960006348841;17/04/2025;36,83;1;120,09;2;2025-04;Detrator
39997968;1000;04 0107000098372101;27/04/2025;27,54;1;152,99;6;2025-04;Detrator
39187529;1000;04 0120000106231104;28/02/2025;1,85;1;19,99;9;2025-02;Promotor
39579474;3000;04 01580000981381;06/04/2025;3,44;1;16,79;7;2025-04;Neutro
40428363;4500;04 00790002727101;23/04/2025;7,67;1;29,99;1;2025-04;Detrator
39623994;1000;04 0272000021006102;25/02/2025;5,37;3;17,98;3;2025-02;Detrator
40221159;1000;04 0033000039927A;20/01/2025;0,67;1;7,65;2;2025-01;Detrator
39808116;1000;04 0095000086951103;28/04/2025;5,09;1;54,99;5;2025-04;Detrator
39395806;1000;04 0273000028825101;12/02/2025;39,73;1;149,99;6;2025-02;Detrator
39879177;1000;04 0213000042166102;10/02/2025;9,71;1;104,99;5;2025-02;Detrator
40621884;3000;04 00180003708491;22/03/2025;14,36;1;155,3;10;2025-03;Promotor
40423735;3000;04 02810000006821;21/03/2025;23,29;1;94,39;8;2025-03;Neutro
39993893;1000;04 0016000489198102;16/03/2025;2,56;1;9,99;4;2025-03;Detrator
39691623;4300;04 02570000469331;04/01/2025;-14,22;-1;-41,89;9;2025-01;Promotor
40061992;4300;04 01470000222861;06/02/2025;13,65;1;56,89;9;2025-02;Promotor
39508702;1000;04 0286000012715101;05/04/2025;3,7;2;13,98;4;2025-04;Detrator
39565937;3000;04 02260000791181;11/02/2025;35,43;1;383,05;1;2025-02;Detrator
40450522;4300;04 00380003410491;28/04/2025;0,67;1;3,28;9;2025-04;Promotor
39672714;1000;04 0267000016648102;05/03/2025;7,64;1;30,99;8;2025-03;Neutro
39440385;1000;04 0102000086130107;27/02/2025;3,15;1;11,29;5;2025-02;Detrator
40267281;1000;04 0219000019067101;08/04/2025;4,6;1;18;5;2025-04;Detrator
40199840;1000;04 0018000392429201;15/03/2025;11,5;1;44,99;4;2025-03;Detrator
40189021;3000;04 00800002064101;10/04/2025;7,4;1;29,99;2;2025-04;Detrator
39377197;3000;04 02440000289261;20/03/2025;14,06;1;151,99;3;2025-03;Detrator
39657012;1000;04 0186000119973101;30/03/2025;9,25;1;99,99;2;2025-03;Detrator
40344669;1000;04 0272000011344101;08/04/2025;0;1;21,6;4;2025-04;Detrator
39982303;4300;04 02460001337081;12/04/2025;35,12;1;237,68;6;2025-04;Detrator
39857371;1000;04 0280000021045101;23/03/2025;3,94;2;15,98;5;2025-03;Detrator
39902632;1000;04 0007000380062102;12/04/2025;1,79;1;6,99;10;2025-04;Promotor
36650361;1000;04 0129000073971101;23/04/2025;5,14;1;17,59;8;2025-04;Neutro
40602707;4100;04 01470000268161;15/03/2025;15,9;2;30,58;2;2025-03;Detrator
39141094;3000;04 01080005970291;23/03/2025;20,52;1;74,89;6;2025-03;Detrator
40083571;4100;04 01030001254331;11/03/2025;2,52;1;7,94;10;2025-03;Promotor
32575499;1000;04 0183000086083103;03/01/2025;11,46;1;44,76;1;2025-01;Detrator
39698096;1000;04 0126000156909103;27/01/2025;1,02;1;10,99;9;2025-01;Promotor
39239090;1000;04 0244000023828103;14/02/2025;2,3;3;8,97;5;2025-02;Detrator
39239090;1000;04 0244000021702101;29/01/2025;2,96;1;31,99;4;2025-01;Detrator
39429166;3000;04 02020000807491;25/01/2025;14,81;1;160,19;4;2025-01;Detrator
39330007;1000;04 0011000188282106;23/04/2025;5,63;1;21,99;6;2025-04;Detrator
37811248;1000;04 0085000254575101;11/01/2025;4,59;1;17,99;10;2025-01;Promotor
39768876;3000;04 01500000957501;03/01/2025;6,85;1;24,99;2;2025-01;Detrator
39903203;3000;04 02260000790161;10/02/2025;20,12;1;60,9;3;2025-02;Detrator
40431569;3000;04 01220001900161;24/04/2025;38,89;1;151,99;6;2025-04;Detrator
39984766;1000;04 0211000022269101;05/01/2025;21,46;1;231,99;6;2025-01;Detrator
40026909;1000;04 0011000287388105;28/03/2025;5,63;1;21,99;8;2025-03;Neutro
36216743;3000;04 02570000613561;13/04/2025;3,03;1;17,84;6;2025-04;Detrator
39351740;1000;04 0005000206048103;21/03/2025;12,8;1;49,99;9;2025-03;Promotor
40242060;3000;04 01050002024221;21/02/2025;10,92;6;42,69;2;2025-02;Detrator
40236795;3000;04 02520000611631;03/02/2025;5,55;1;20,61;9;2025-02;Promotor
39815821;4300;04 02830000329211;07/01/2025;21,6;1;233,52;10;2025-01;Promotor
38247197;1000;04 0110000264493101;20/01/2025;5,99;2;23,4;2;2025-01;Detrator
39262943;3000;04 02630000534831;02/04/2025;2,12;8;22,96;8;2025-04;Neutro
39667755;4300;04 02000001584371;10/01/2025;10,53;1;94,31;3;2025-01;Detrator
40324243;2000;04 00140059929961;22/01/2025;134,31;3;524,97;8;2025-01;Neutro
39500566;1000;04 0140000112417102;23/04/2025;2,5;1;9,29;9;2025-04;Promotor
40150753;1000;04 0205000061497102;28/02/2025;9,23;1;33,15;2;2025-02;Detrator
39152124;3000;04 01390001231331;20/03/2025;6,64;1;33,21;3;2025-03;Detrator
39963540;1000;04 0280000033007102;09/02/2025;0,15;1;1,55;5;2025-02;Detrator
40259698;1000;04 0139000087846104;08/01/2025;27,38;1;295,99;8;2025-01;Neutro
39605445;1000;04 0086000199660101;17/02/2025;5,55;2;59,98;9;2025-02;Promotor
39962915;1000;04 0089000028169103;18/01/2025;4,69;1;18,99;7;2025-01;Neutro
39808430;1000;04 0244000020998101;12/01/2025;16,55;1;178,99;10;2025-01;Promotor
39846187;1000;04 0122000129898103;05/01/2025;5,63;1;21,99;3;2025-01;Detrator
39552722;1000;04 0267000028694101;06/02/2025;102,9;1;416,99;9;2025-02;Promotor
39613074;3000;04 00770003131881;06/02/2025;103,53;1;390,81;8;2025-02;Neutro
39923878;3000;04 00800002042741;29/03/2025;4,74;1;27,89;7;2025-03;Neutro
39155690;1000;04 01430000058324;10/03/2025;-13,63;-1;-48,95;4;2025-03;Detrator
36567583;3000;04 02600000094121;18/04/2025;17,92;1;94,34;8;2025-04;Neutro
39970694;1000;04 0292000013363101;03/03/2025;4,49;1;18,69;2;2025-03;Detrator
39218094;1000;04 0180000039355106;27/02/2025;0,82;1;2,99;2;2025-02;Detrator
40388367;2000;04 00140062106261;08/04/2025;20,82;1;54,58;3;2025-04;Detrator
40043115;4300;04 00860000697441;18/01/2025;2,82;9;24,26;10;2025-01;Promotor
40192388;4600;04 01090003120771;21/01/2025;4,86;1;18,99;8;2025-01;Neutro
40079847;1000;04 02120000003074;02/02/2025;-23,08;-1;-90,24;1;2025-02;Detrator
39247456;1000;04 0243000049194101;02/02/2025;3,6;1;29,99;6;2025-02;Detrator
39650858;1000;04 0261000034909101;03/01/2025;7,18;5;27,96;4;2025-01;Detrator
39729154;1000;04 0056000173525104;17/01/2025;0,96;2;10,38;7;2025-01;Neutro
39351740;4300;04 02830000325821;04/01/2025;4,01;5;15,7;5;2025-01;Detrator
39543246;1000;04 0111000026027A;25/02/2025;4,16;1;45;8;2025-02;Neutro
39717512;1000;04 0143000061466102;09/03/2025;9,18;1;32,99;2;2025-03;Detrator
39512745;1000;04 0170000051126105;06/03/2025;1,11;1;11,99;1;2025-03;Detrator
39924271;1000;04 0077000162089103;22/02/2025;8,75;3;32,97;3;2025-02;Detrator
39688550;1000;04 0147000027417105;18/03/2025;2,83;11;30,51;3;2025-03;Detrator
40008587;3000;04 02050001611511;23/04/2025;9,46;6;33,96;8;2025-04;Neutro
39692013;1000;04 0081000049193102;25/03/2025;8,87;1;35,99;1;2025-03;Detrator
39918738;1000;04 0226000025817105;02/01/2025;21,59;1;64,99;10;2025-01;Promotor
39643739;1000;04 0272000020998102;25/02/2025;4,46;1;14,99;3;2025-02;Detrator
40154450;1000;04 0011000174758106;11/01/2025;12,79;1;49,99;9;2025-01;Promotor
39518105;3000;04 01460002673331;14/01/2025;2,64;1;28,49;1;2025-01;Detrator
40107426;1000;04 0032000410583102;10/04/2025;6,45;1;25,2;6;2025-04;Detrator
40026338;4600;04 00990000012501;18/02/2025;5,73;2;61,98;9;2025-02;Promotor
39154261;4300;04 01050002132921;29/04/2025;28,42;2;185,88;2;2025-04;Detrator
39490451;3000;04 01040002648631;05/02/2025;14,31;1;154,7;1;2025-02;Detrator
39443973;3000;04 01600000291481;10/04/2025;-5,82;-1;-62,91;2;2025-04;Detrator
